Key,Id,Shared Comments,Chinese (Simplified)(zh),Chinese (Simplified)(zh) Comments,English(en),English(en) Comments
MAIN,,,你,,You,
DEFAULT,,, ,, ,
C1_E1_L1,,,意识恢复的时候…...,,,
C1_E1_L2,,,周遭的景色就已经都消散了，只剩下了像是夜晚般的一片漆黑,,,
C1_E1_L3,,,随后，连自己是谁也全都遗忘了，嗯嗯，但是好像也，无所谓了,,,
C1_E1_L4,,,无所谓吗？隐约还能记得心脏刺痛的感觉。,,,
C1_E1_L5,,,悲伤和，无以复加的绝望，于是我就变成了气体一样的,,,
C1_E1_L6,,,什么呢，变成了什么呢？我不知道。,,,
C1_E1_L7,,,不管是现在，还是以前的事情，全部如此模糊,,,
C1_E1_L8,,,像是隔着几层毛玻璃一样，只有呈现出虚影,,,
C1_E1_L9,,,这是死后的世界吗？可是，可是.......,,,
C1_E1_L10,,,不想就这样结束，我的心叫喊着，不想就这样结束,,,
C1_E1_L11,,,但是也无可奈何吧？,,,
C1_E1_L12,,,若是夜空的话，应当能看见些许的蓝色，又或者是星星什么的,,,
C1_E1_L13,,,但是我所在的周围只剩下漆黑一片了，我是失明了吗？,,,
C1_E1_L14,,,这里明明什么都没有，却又好像周围挤满了人一样,,,
C1_E1_L15,,,恶心,,,
C1_E1_L16,,,恶心，恶心，恶心,,,
C1_E1_L17,,,恶心恶心恶心恶心恶心恶心恶心恶心恶心,,,
C1_E1_L18,,,啊啊，已经累了，就这样结束吧？,,,
C1_E1_L19,,需要有一个空格, ,,,
C1_E1_L19_C1,,Choice,可是.......,,,
C1_E1_L19_C2,,,还不甘心......,,,
C1_E2_L1,,,不理解，不情愿，不甘心,,,
C1_E2_L2,,,我应该没有做错什么吧？,,,
C1_E2_L3,,,尽管不记得发生了什么，但是,,,
C1_E2_L4,,,为什么我竟然会落得如此下场呢？,,,
C1_E2_L5,,,如果有谁能来救救我就好了……什么的,,,
C1_E2_L6,,,哈哈，这种想法真恶心啊,,,
C1_E2_L7,,,果然我还是落到这种境地了吗？,,,
C1_E2_L8,,,果然我还是做错了些什么吗？,,,
C1_E2_L9,,,果然我还是......,,,
C1_E2_L10,,,啊啊,,,
C1_E2_L11,,,像是看见了一瞬间的闪光,,,
C1_E2_L12,,,仿佛是谁在身后正抱着自己一般，我的心中涌起了暖意,,,
C1_E2_L13,,,我.......,,,
C1_E2_L14,,同理, ,,,
C1_E2_L14_C1,,,想继续感受,,,
C1_E2_L14_C2,,,这样的暖意,,,
