Key,Id,Shared Comments,Chinese (Simplified)(zh),Chinese (Simplified)(zh) Comments,English(en),English(en) Comments
"DEFAULT",138054324224,""," ",""," ",""
"MAIN",977511289573376,"","你","","You",""
"C1_E1_L1",9603764224,"","意识恢复的时候…...","","",""
"C1_E1_L2",3579602391040,"","周遭的景色就已经都消散了，只剩下了像是夜晚般的一片漆黑","","",""
"C1_E1_L3",3579602391041,"","随后，连自己是谁也全都遗忘了，嗯嗯，但是好像也，无所谓了","",,
"C1_E1_L4",3579606585344,"","无所谓吗？隐约还能记得心脏刺痛的感觉。","",,
"C1_E1_L5",3579606585345,"","悲伤和，无以复加的绝望，于是我就变成了气体一样的","",,
"C1_E1_L6",3579606585346,"","什么呢，变成了什么呢？我不知道。","",,
"C1_E1_L7",3579606585347,"","不管是现在，还是以前的事情，全部如此模糊","",,
"C1_E1_L8",3579606585348,"","像是隔着几层毛玻璃一样，只有呈现出虚影","",,
"C1_E1_L9",12546240008192,"","这是死后的世界吗？可是，可是.......","",,
"C1_E1_L10",12546240008193,"","不想就这样结束，我的心叫喊着，不想就这样结束","",,
"C1_E1_L11",12546240008194,"","但是也无可奈何吧？","",,
"C1_E1_L12",12546240008195,"","若是夜空的话，应当能看见些许的蓝色，又或者是星星什么的","",,
"C1_E1_L13",12546240008196,"","但是我所在的周围只剩下漆黑一片了，我是失明了吗？","",,
"C1_E1_L14",12546240008197,"","这里明明什么都没有，却又好像周围挤满了人一样","",,
"C1_E1_L15",12546240008198,"","恶心","",,
"C1_E1_L16",12546240008199,"","恶心，恶心，恶心","",,
"C1_E1_L17",12546240008200,"","恶心恶心恶心恶心恶心恶心恶心恶心恶心","",,
"C1_E1_L18",12546240008201,"","啊啊，已经累了，就这样结束吧？","",,
"C1_E1_L19",12546240008202,""," ",""," ",""
"C1_E1_L19_C1",13492827312128,"Choice","可是.......","",,
"C1_E1_L19_C2",13492827312129,"","还不甘心......","",,
